Date,Open,High,Low ,Close,Volume
10-Oct-16,1115,1122,1092.8,1095.95,163780
07-Oct-16,1111.1,1122.65,1107.55,1109.95,455517
06-Oct-16,1092,1124.8,1092,1111.1,1709509
05-Oct-16,1103.15,1105.8,1085.75,1089.3,229693
04-Oct-16,1093.9,1108,1092,1095.2,413390
03-Oct-16,1084.5,1107.35,1076.95,1090.4,955952
30-Sep-16,1070,1093.45,1067,1082.1,184651
29-Sep-16,1095,1110,1067.5,1072.55,389803
28-Sep-16,1110,1113,1087.3,1089.7,320533
27-Sep-16,1113.05,1125.7,1107.3,1110.45,318951
26-Sep-16,1102.5,1128.9,1102,1109.35,991973
23-Sep-16,1088,1109.2,1088,1102.95,1161460
22-Sep-16,1080,1095.5,1079.1,1087.65,541248
21-Sep-16,1074,1084.5,1067,1071.35,157167
20-Sep-16,1085.05,1086,1069.1,1074.1,296596
19-Sep-16,1074.9,1087.5,1071.05,1082.35,1613535
16-Sep-16,1065,1093.25,1059.75,1075.65,1299359
15-Sep-16,1047,1068,1047,1062.45,462771
14-Sep-16,1046,1058,1040.65,1045.45,314372
12-Sep-16,1034,1055.65,1025.1,1046.6,492672
09-Sep-16,1034,1049.65,1030.2,1043.7,305332
08-Sep-16,1020.5,1035.5,1020,1032.25,367758
07-Sep-16,1020.1,1026.75,1014,1017.45,220304
06-Sep-16,1020,1024.95,1014,1020.45,240877
02-Sep-16,1032,1035,1003.1,1012.85,541854
01-Sep-16,1053.9,1072.55,1026.25,1029.15,1095036
31-Aug-16,1065.9,1073.55,1047.05,1058,232493
30-Aug-16,1059.2,1070,1053.25,1065.8,1139289
29-Aug-16,1027.7,1059.95,1027,1057,639293
26-Aug-16,1014.8,1030,1014.65,1027.7,232782
25-Aug-16,1020.5,1028.5,1010,1013.1,156757
24-Aug-16,1014.5,1022.1,1011.1,1020.75,366612
23-Aug-16,1013,1014.8,1005.1,1009.9,208441
22-Aug-16,1017.9,1020.35,1007.3,1013.9,179189
19-Aug-16,1011,1021.7,1007.25,1014.85,149095
18-Aug-16,1015.35,1023.15,1015.15,1016.6,290170
17-Aug-16,1023,1028.8,1008.2,1014,453723
16-Aug-16,1035,1044,1016,1024.2,202889
12-Aug-16,1015,1041.75,1014.9,1034.95,361232
11-Aug-16,1004,1022,1000.25,1012.45,161720
10-Aug-16,1029.95,1034.5,1001.05,1002.8,205341
09-Aug-16,1028.4,1033.4,1021.3,1029.85,188865
08-Aug-16,1017.15,1033.5,1017.15,1029.65,266132
05-Aug-16,995.2,1017.5,995.2,1014.55,174956
04-Aug-16,1000,1002,984.5,993.15,178507
03-Aug-16,1011.55,1013.05,992,994.05,175635
02-Aug-16,1008.9,1018.5,1007,1011.05,158464
01-Aug-16,1016.55,1020.85,1005.3,1009.3,137323
29-Jul-16,1025.8,1025.8,1012.2,1015.5,108105
28-Jul-16,1018.4,1029.8,1012.5,1026.05,205105
27-Jul-16,1025,1026.9,1010,1013.05,168876
26-Jul-16,1021.4,1034.15,1015.2,1023.3,269334
25-Jul-16,1016,1021.8,1007.8,1020.65,1434391
22-Jul-16,1005,1017.25,1004.15,1014.8,135033
21-Jul-16,1024,1024.55,1005.5,1006.7,135079
20-Jul-16,1020,1028.1,1017,1022.55,243360
19-Jul-16,1008,1021.8,995.25,1015.4,394125
18-Jul-16,1027,1039,986.1,1004.25,667578
